,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
78,In My Head,Jason Derulo,Jason Derulo,66,9,https://open.spotify.com/track/5BoIP8Eha5hwmRVURkC2Us,0.0266,0.762,-4.15,0.851,0.748,0.348,110.009,False,0.0,199027,"dance pop, pop",pop,Pop,2010
79,Say Aah (feat. Fabolous),Trey Songz  & Fabolous,Ready (Deluxe),65,20,https://open.spotify.com/track/2fQ6sBFWaLv2Gxos4igHLy,0.00453,0.724,-3.614,0.81,0.87,0.833,93.01,False,0.0,207547,"dance pop, r&b, southern hip hop, trap, urban contemporary",r&b,R&B,2010
80,Misery,Maroon 5,Hands All Over (Deluxe),65,18,https://open.spotify.com/track/6KBYk8OFtod7brGuZ3Y67q,0.000315,0.704,-4.874,0.726,0.81,0.216,102.98,False,0.0,216200,pop,pop,Pop,2010
81,My First Kiss (feat. Ke$ha),3OH!3  & Kesha,Streets Of Gold,65,14,https://open.spotify.com/track/17tDv8WA8IhqE8qzuQn707,0.00564,0.682,-4.166,0.827,0.889,0.36,138.021,False,0.0,192440,"electropowerpop, pop punk, pop rap, post-teen pop",pop punk,Pop,2010
82,Try Sleeping with a Broken Heart,Alicia Keys,The Element Of Freedom,64,14,https://open.spotify.com/track/1yK9LISg5uBOOW5bT2Wm0i,0.158,0.496,-5.155,0.549,0.821,0.13,110.977,False,0.246,249013,"neo soul, pop, r&b",pop,Pop,2010
83,For the First Time,The Script,Science & Faith,64,12,https://open.spotify.com/track/09ZcYBGFX16X8GMDrvqQwt,0.0328,0.396,-4.78,0.358,0.629,0.183,173.794,True,0.0,252853,"celtic rock, pop",pop,Pop,2010
84,King of Anything,Sara Bareilles,Kaleidoscope Heart,64,13,https://open.spotify.com/track/3VA8T3rNy5V24AXxNK5u9E,0.461,0.676,-4.172,0.81,0.762,0.0574,119.003,False,0.0,207493,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop",lilith,Pop,2010
85,One - Radio Edit,Swedish House Mafia,One (Your Name),64,8,https://open.spotify.com/track/41KPpw0EZCytxNkmEMJVgr,0.0075,0.802,-6.564,0.622,0.781,0.147,125.026,False,0.825,169920,"edm, pop dance, progressive electro house",pop dance,Pop,2010
86,Wavin' Flag,K'NAAN,Troubadour,63,14,https://open.spotify.com/track/0zREtnLmVnt8KUJZZbSdla,0.13,0.625,-6.416,0.717,0.699,0.238,75.974,False,0.0,220520,reggae fusion,reggae fusion,Reggae,2010
87,Dancing On My Own - Radio Edit,Robyn,Body Talk,63,15,https://open.spotify.com/track/7g13jf3zqlP5S68Voo5v9m,0.00202,0.573,-6.045,0.219,0.926,0.127,117.047,False,0.0117,278080,"dance pop, electropop, neo-synthpop, scandipop, swedish electropop, swedish pop",electropop,Hip-Hop,2010
88,Man Down,Rihanna,Loud,63,11,https://open.spotify.com/track/454h9zAIuTe1eJyw9iTnj4,0.0406,0.479,-4.03,0.536,0.906,0.051,155.887,True,0.0,266987,"barbadian pop, pop, urban contemporary",pop,Pop,2010
89,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame  & Roscoe Dash  & Wale,No Hands (feat. Roscoe Dash & Wale),63,1,https://open.spotify.com/track/6GgPsuz0HEO0nrO2T0QhDv,0.00544,0.76,-6.366,0.361,0.595,0.241,131.497,True,0.0,263773,"atl hip hop, dirty south rap, rap, southern hip hop, trap",dirty south rap,Hip-Hop,2010
90,Beautiful Monster,Ne-Yo,Libra Scale,61,10,https://open.spotify.com/track/2Q99zPXVqCPN5RaZawvJWZ,0.209,0.708,-6.99,0.494,0.771,0.277,128.013,False,5.32e-06,251573,"dance pop, pop, r&b, urban contemporary",pop,Pop,2010
91,The Flood,Take That,Progress,61,11,https://open.spotify.com/track/2a3U3GTCvrcma7wetBtOpi,0.0378,0.514,-6.077,0.138,0.83,0.122,100.631,False,1.43e-06,289360,"boy band, europop, talent show",europop,Pop,2010
92,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,Glee Cast,"Glee: The Music, Volume 1",60,17,https://open.spotify.com/track/6rjnRocdCULjLF61x2NR5e,0.0376,0.473,-4.034,0.271,0.604,0.103,123.848,False,0.0,232000,"glee club, post-teen pop",post-teen pop,Pop,2010
93,Starry Eyed,Ellie Goulding,Bright Lights (Lights Re-pack / Bonus Version),58,17,https://open.spotify.com/track/14OF4JQOIm4hb0GfG5nfyF,0.135,0.504,-5.346,0.596,0.814,0.324,149.967,False,1.42e-05,176613,"indietronica, metropopolis, pop, uk pop",metropopolis,Pop,2010
94,Bromance - Avicii's Radio Edit,Tim Berg  & Avicii,Bromance (Remixes),58,4,https://open.spotify.com/track/0xHQuV3c496RjG7ocxBINZ,0.199,0.681,-8.901,0.0377,0.804,0.149,126.016,False,0.899,218616,"edm, pop dance, progressive electro house",pop dance,Pop,2010
