,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
86,Don't Call Me Baby,Madison Avenue,Don't Call Me Baby,60,6.0,https://open.spotify.com/track/4fazGt0v2v2zkzddQOcDZD,0.0585,0.808,-6.588,0.961,0.982,0.35,124.999,False,0.00689,228140,"disco house, vocal house",vocal house,EDM,2000
87,Gotta Tell You,Samantha Mumba,Gotta Tell You,60,15.0,https://open.spotify.com/track/1rj0XawWJNisX7SGYexowJ,0.205,0.739,-4.513,0.758,0.75,0.157,109.983,False,0.0,200160,"bubblegum dance, europop, talent show",europop,Pop,2000
88,Wifey,Next,Platinum & Gold Collection,60,12.0,https://open.spotify.com/track/3NEzjZbeSCy72Kx1clSYgC,0.067,0.829,-8.693,0.726,0.652,0.0812,99.581,False,0.0,243159,"boy band, contemporary r&b, minneapolis sound, new jack swing, r&b, urban contemporary",contemporary r&b,R&B,2000
89,The Time Is Now,Moloko,Things to Make and Do,59,18.0,https://open.spotify.com/track/6h9AH81lpDbjcsBz2ClqAE,0.35,0.682,-10.644,0.546,0.743,0.277,127.962,False,0.000129,318280,"electronica, trip hop",trip hop,Hip-Hop,2000
90,Case Of The Ex (Whatcha Gonna Do),Mýa,Fear Of Flying,59,18.0,https://open.spotify.com/track/1ak0S3NhwWrUgNlQhJ1412,0.0687,0.774,-4.721,0.354,0.684,0.0765,98.001,False,9.34e-05,236827,"contemporary r&b, hip pop, r&b, urban contemporary",hip pop,Hip-Hop,2000
91,Freestyler,Bomfunk MC's,Freestyler,59,5.0,https://open.spotify.com/track/47xLbuUdmD03ATrke934S1,0.0291,0.822,-5.798,0.568,0.922,0.252,163.826,False,0.325,306333,eurodance,eurodance,EDM,2000
92,Crash and Burn,Savage Garden,Affirmation,59,12.0,https://open.spotify.com/track/60g4sp8i3gXSb1EkphMl1g,0.189,0.581,-8.458,0.213,0.607,0.0882,102.03,False,1.6e-06,281467,"boy band, dance pop, pop rock",dance pop,Pop,2000
93,I Wish,Carl Thomas,Emotional,59,17.0,https://open.spotify.com/track/3lqT89gv8p3PYwXtr3ODjv,0.0593,0.736,-4.929,0.224,0.666,0.107,89.824,False,3.82e-05,226760,"contemporary r&b, r&b, urban contemporary",r&b,R&B,2000
94,Reach,S Club,"""7""",59,13.0,https://open.spotify.com/track/6MnWfOgKRkQtY1pRgoTwB1,0.0123,0.597,-7.006,0.755,0.793,0.157,167.2,False,5.45e-06,243266,pop,pop,Pop,2000
95,Let's Get Married,Jagged Edge,J.E. Heartbreak,59,12.0,https://open.spotify.com/track/1PmHkalaUHhh0fz23SBHDL,0.175,0.761,-5.554,0.891,0.627,0.128,109.821,False,0.0,263227,"atl hip hop, contemporary r&b, r&b, urban contemporary",contemporary r&b,R&B,2000
96,Get It On Tonite,Montell Jordan,Best Of Montell Jordan,58,11.0,https://open.spotify.com/track/0AcLrSfAEBQcUnHOTm5pXg,0.259,0.807,-9.91,0.857,0.498,0.0618,99.001,False,3.04e-05,277413,"contemporary r&b, new jack swing, r&b, urban contemporary",new jack swing,R&B,2000
97,Separated,Avant,My Thoughts,58,12.0,https://open.spotify.com/track/5S0cvScXb33JVpjTiY9Ivi,0.247,0.798,-5.564,0.643,0.48,0.237,108.241,False,0.0,255600,"contemporary r&b, r&b, urban contemporary",r&b,R&B,2000
